#+TITLE: CENTRAAL EXAMEN: VWO 2016:2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAV161VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
| 12               | Soortelijke weerstand, temperatuur                             | Bepaal of de verandering van soortelijke weerstand groter of kleiner dan 5% is tussen 20 °C en 300 °C.                        | Berekeningen met temperatuurafhankelijke weerstand.                                  |
| 13               | Stefan-Boltzmann-wet                                          | Toon aan dat \( P/A \) vs. \( T^4 \) een rechte lijn geeft. Bepaal de Stefan-Boltzmann-constante.                             | Begrip van warmtestraling en grafiekanalyse.                                         |
| 14               | Golflengte van warmtestraling                                  | Bereken de golflengte van de straling met de grootste intensiteit bij 383 °C.                                                 | Gebruik van de wet van Wien.                                                         |
| 15               | Stralingsintensiteit, afstand (kwadratenwet)                   | Toon aan of de kwadratenwet geldt met de meetresultaten voor intensiteit als functie van afstand.                             | Begrip van inverse kwadratenwet en data-analyse.                                     |
| 16               | Radioactief verval, bètastraling                               | Geef de vervalvergelijking van de gebruikte isotoop.                                                                          | Begrip van bètaverval en kernreacties.                                               |
| 17               | Radioactieve straling                                          | Leg uit hoe gammastraling kan vrijkomen ondanks bètaverval.                                                                  | Kennis van kernreacties en gammastraling.                                            |
| 18               | Lorentzkracht, magneetvelden                                   | Bepaal aan welke kant (L of R) de noordpool van de magneet zit.                                                              | Lorentzkrachtregel toepassen.                                                        |
| 19               | Snelheid van geladen deeltjes                                  | Leid formule \( v = \frac{Bqr}{m} \) af.                                                                                      | Toepassing van cirkelbeweging en krachten in magneetvelden.                          |
| 20               | Relativistische effecten                                       | Bepaal of relativistische effecten relevant zijn door de snelheid van bètadeeltjes te berekenen.                              | Begrip van relativistische snelheden en kinetische energie.                          |
| 21               | Achtergrondstraling, GM-sensor                                 | Geef aan hoe achtergrondstraling in de eerste meetreeks wordt gemeten.                                                       | Begrip van stralingsbronnen en achtergrondmetingen.                                  |
| 23               | Fluit, staande golven                                          | Geef de positie van de buik (B) en knopen (K). Leg uit of toon II een hogere of lagere frequentie heeft dan toon I.           | Begrip van staande golven en toonvorming.                                            |
| 24               | Warmte en geluidssnelheid                                      | Leg uit hoe de toonhoogte verandert als de temperatuur van de lucht in de fluit toeneemt.                                     | Begrip van geluidssnelheid en temperatuur.                                           |

* NAV222VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                              | Acties/Berekeningen                                                                                                      | Benodigde kennis/vaardigheden                                                   |
|------------------|---------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Gewichtloosheid, weegschalen, zwaartekracht                    | Leg uit waarom een gewone personenweegschaal niet werkt in gewichtloosheid.                                                  | Begrip van zwaartekracht en gewicht.                                                |
| 2                | Massa-veersysteem, veerkracht                                  | Teken veerkracht \( F_R \) in situaties 2 en 3. Leg uit waarom de totale veerconstante 50 N/m is.                             | Begrip van veerkracht en systeemanalyse.                                            |
| 3                | Trillingstijd, massa, veerconstante                            | Bepaal de massa van de slede met behulp van het \( x,t \)-diagram.                                                           | Formules voor harmonische trillingen toepassen.                                      |
| 4                | Snelheid, grafieken van trilling                               | Bepaal maximale snelheid uit het \( x,t \)-diagram. Teken het \( v,t \)-diagram.                                             | DifferentiÃ«ren van positie en tekenen van grafieken.                                |
| 5                | Veerenergie, formulekeuze                                      | Kies de juiste formule voor de veerenergie.                                                                                  | Begrip van potentiÃ«le energie en veerconstante.                                     |
| 6                | Energieverlies, wrijving, grafieken                            | Geef de natuurkundige verklaring waarom de veerenergie niet tot 0 J daalt.                                                   | Begrip van systeemenergie en wrijving.                                              |
| 7                | Wrijvingskracht, energieverlies                                | Leg uit of de grafiek zonder hobbels zal zijn bij een constante wrijvingskracht.                                             | Begrip van luchtweerstand en constante krachten.                                    |
| 8                | ECG, hartritme                                                 | Bepaal het hartritme in slagen per minuut.                                                                                   | Analyse van een ECG-grafiek.                                                        |
| 9                | Spanningswet van Kirchhoff, elektroden                         | Leg uit hoe \( U_{AC} \) kan worden bepaald uit \( U_{AB} \) en \( U_{BC} \).                                                | Toepassing van Kirchhoffâ€™s spanningswet.                                            |
| 10               | MRI-scans, ioniserende straling                                | Geef een natuurkundige reden waarom MRI beter is voor de patiÃ«nt dan een CT-scan.                                            | Begrip van MRI en ioniserende straling.                                             |
| 11               | Lorentzkracht, ladingsscheiding                                | Geef de richting van de lorentzkracht. Leg uit waarom ladingsscheiding optreedt en op welke spanning deze het grootst is.     | Toepassing van de lorentzkrachtformule.                                             |
| 12               | Stroming, ladingsscheiding, aorta                              | Bereken of de verandering in het ECG verklaard kan worden door ladingsscheiding.                                             | Gebruik van volumestroomformules en ladingsscheiding.                               |
| 13               | Golflengte, fotonenergie, waterstoflijn                       | Bereken de fotonenergie van een waterstoflijn. Toon aan dat de overgang hoort bij de eerste en tweede aangeslagen toestand.    | Formules voor fotonenergie en energieovergangen in atomen.                          |
| 14               | Sterrenstraling, ionisatie                                    | Leg uit waarom een ster straling met frequenties groter dan zichtbaar licht moet uitzenden om een emissienevel te creÃ«ren.    | Begrip van ionisatie en fotonenenergie.                                             |
| 15               | Sterrenstraling, planckkromme                                 | Toon aan dat de ster aan de stralingsvoorwaarde voldoet. Bereken de temperatuur van de ster uit de planckkromme.              | Analyse van planckkrommen en gebruik van Wienâ€™s wet.                                |
| 16               | Hertzsprung-Russell-diagram, stervermogen                      | Bereken het uitgestraald vermogen van de ster en haar straal.                                                                | Begrip van stralingsvermogen en stermodellen.                                       |
| 17               | Stralingsintensiteit, telescopen, emissienevel                 | Toon aan dat de gemeten stralingsintensiteit klopt met de gegeven waarden.                                                   | Analyse van intensiteit en golflengte.                                              |
| 18               | LEO-satellieten, baansnelheid                                  | Leid formule (1) en (2) af. Toon aan dat de baansnelheid 7,658 km/s is.                                                      | Kinetische energie en gravitatie-energie gebruiken.                                 |
| 19               | Atmosferische wrijving, cw-waarde                              | Bereken het energieverlies per seconde door atmosferische wrijving.                                                          | Formules voor luchtweerstand en energieverlies toepassen.                           |
| 20               | Energieverandering, differentiÃ«ren                             | Leid \( \frac{dE_t}{dr} \) af. Leg uit waarom de hoogte afneemt door wrijving.                                               | Differentieerbare energieformules en systeemgedrag.                                 |
| 21               | Hoogteverlies, snelheid van satelliet                          | Bepaal het hoogteverlies per omwenteling. Leg uit of de baansnelheid groter of kleiner wordt.                                 | Begrip van baansnelheid en hoogteverlies door wrijving.                             |

* NAV223VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                                     | Acties/Berekeningen                                                                                                                      | Benodigde kennis/vaardigheden                                                     |
|------------------|----------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | LED, schakeling, stroom- en spanningsmeters                          | Teken de benodigde verbindingen in de schakeling op de uitwerkbijlage.                                                                       | Basiskennis van elektrische schakelingen.                                           |
| 2                | LED, rendement, fotonen, golflengte                                  | Bereken het rendement van de LED bij een stroomsterkte van 10 mA.                                                                            | Begrip van energieomzetting en formules voor fotonenenergie.                        |
| 3                | Weerstand R, stroom-spanning-karakteristieken                        | Bepaal de grootte van de weerstand R die nodig is om een stroom van 10 mA door de LEDâ€™s te laten lopen.                                       | Toepassing van Ohmâ€™s wet en het seriecircuit.                                       |
| 4                | LED's, schakeling, regelbare weerstanden                             | Teken de regelbare weerstanden in de schakeling om de stroomsterkte door de blauwe LED te regelen.                                            | Begrip van parallelle en seriÃ«le schakelingen.                                      |
| 5                | Middelpuntzoekende kracht, baan van een satelliet                    | Leid formule (1) af en leg uit of Soho zonder de aarde verder van of dichter bij de zon zou staan.                                            | Toepassing van krachten en cirkelbeweging.                                          |
| 6                | Soho, middelpuntzoekende kracht, gravitatiekracht                    | Bereken de middelpuntzoekende kracht en de afzonderlijke gravitatiekrachten van de zon en de aarde.                                           | Formules voor gravitatiekracht en middelpuntzoekende kracht.                        |
| 7                | Zonnevlekken, spectrum, temperatuur                                  | Bepaal de temperatuur van de zonnevlek uit het spectrum.                                                                                      | Gebruik van de wet van Wien.                                                        |
| 8                | Lagrangepunten, baanparameters                                       | Vergelijk de grootheden van L1 en L2 en noteer of ze groter, kleiner of gelijk zijn.                                                          | Begrip van gravitatiekrachten en Lagrangepunten.                                    |
| 10               | Radon, isotopen, halveringstijden                                    | Geef aan welke isotoop X is en waarom deze geen radondochter is.                                                                              | Kennis van vervalreeksen en isotopen.                                               |
| 11               | Radonactiviteit, evenwicht, radondochters                            | Leg uit waarom de activiteit een maximale waarde bereikt en waarom de activiteit van radondochters gelijk wordt aan die van Rn-222.           | Begrip van radioactief evenwicht en verval.                                         |
| 12               | Geigerteller, alfadeeltjes, gammastraling                            | Beschrijf hoe je controleert dat de Geigerteller geen alfa- of gammastraling registreert.                                                     | Begrip van detectie van straling en experimentele methoden.                         |
| 13               | Geigerteller, afwijkingen in vervalcurve                             | Geef twee oorzaken voor het afwijkende verloop van de vervalcurve.                                                                           | Begrip van radioactief verval en invloeden op metingen.                             |
| 14               | Radonactiviteit, normwaarde, detectie                                | Controleer of de radonactiviteit in de kelder de normwaarde overschrijdt.                                                                    | Toepassing van activiteit en meetmethoden.                                          |
| 15               | Parasailing, snelheid, afgelegde afstand                             | Bepaal de afstand die de boot heeft afgelegd op \( t = 8,0 \) s.                                                                             | Analyse van (v,t)-diagrammen en berekeningen met oppervlaktes onder grafieken.      |
| 16               | Bootversnelling, snelheidstijd-grafiek                               | Bereken de versnelling van de boot op \( t = 6,0 \) s.                                                                                        | Berekeningen met helling van een grafiek.                                           |
| 17               | Krachten op parachutist, krachtconstructie                          | Bepaal de grootte van kracht F2 met een constructie op de uitwerkbijlage.                                                                    | Grafische krachtenanalyse en gebruik van vectoren.                                  |
| 18               | Comptoneffect, fotonen, impuls, golflengte                          | Leg uit waarom de golflengte \('\) groter is dan \('\) en waarom de impuls kleiner is.                                                        | Begrip van het Comptoneffect en energiebehoud.                                      |
| 19               | Comptoneffect, verstrooiingshoek, pieken                             | Leg uit hoe de pieken verschuiven als de hoek \('\) verandert.                                                                                | Begrip van verstrooiing en grafiekanalyse.                                          |
| 20               | Comptongolflengte, eenheden                                         | Toon aan dat de comptongolflengte de eenheid meter heeft en bepaal deze uit figuur 5.                                                        | Eenheidsanalyse en grafiekanalyse.                                                 |
| 21               | Viool, frequentie van de grondtoon                                   | Bepaal de frequentie van de grondtoon van de snaar uit het (u,t)-diagram.                                                                    | Analyse van periodieke bewegingen.                                                  |
| 22               | Viool, voortplantingssnelheid van golven                             | Bereken de voortplantingssnelheid van de golven in de E-snaar.                                                                                | Formules voor staande golven.                                                       |
| 23               | Formule van boventonen, snaarinstrumenten                           | Leid de formule voor boventonen af uit de staande golfformule.                                                                               | Begrip van staande golven en harmonischen.                                          |
| 24               | Viool, frequenties bij resonantie, boventonen                       | Geef twee gemeenschappelijke frequenties van boventonen van de E- en A-snaar.                                                                | Gebruik van frequentieverhoudingen en harmonischen.                                 |

* NAV231VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                                 | Acties/Berekeningen                                                                                                                      | Benodigde kennis/vaardigheden                                                     |
|------------------|--------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Langlaufer, afstand per bewegingscyclus                           | Bepaal de afgelegde afstand per cyclus uit figuur 4.                                                                                          | Analyse van grafieken en cyclische bewegingen.                                       |
| 2                | Langlaufski, veerconstante, camberhoogte                          | Controleer of de skiâ€™s geschikt zijn als de langlaufer op twee skiâ€™s staat.                                                                   | Krachten- en veerconstanteberekeningen.                                             |
| 3                | Flexibiliteit van skiâ€™s, arbeid                                   | Kies het juiste (F,s)-diagram en bepaal bij welke ski meer arbeid nodig is om hem in te drukken.                                              | Begrip van arbeid, kracht en druk.                                                  |
| 4                | Wrijvingskracht, dynamische wrijvingscoÃ«fficiÃ«nt                  | Leg uit of er een recht evenredig verband is tussen de massa/snelheid en de wrijvingscoÃ«fficiÃ«nt.                                             | Begrip van wrijving en grafiekanalyse.                                              |
| 5                | Espressoapparaat, stoomknop, schakelschema                        | Teken de verbindingen en geef de positie van de veiligheidsthermostaat aan.                                                                  | Basiskennis schakelingen en elektrische componenten.                                 |
| 6                | Verwarmingselement, rendement, weerstand                          | Toon aan dat de weerstand van het element 63 Î© is.                                                                                           | Begrip van vermogen, spanning en weerstand.                                         |
| 7                | Verwarmingselement, massief/nichroombuis                          | Bereken de diameter van de nichroomdraad en bepaal of de staaf massief of hol is.                                                             | Berekeningen met dichtheid en geometrie.                                            |
| 9                | Poollicht, ontsnappingssnelheid                                   | Bereken de minimale snelheid om aan de zwaartekracht van de zon te ontsnappen.                                                               | Zwaartekracht en ontsnappingssnelheid berekeningen.                                  |
| 10               | Poollicht, gemiddelde snelheid van plasma                         | Bereken de gemiddelde snelheid van het plasma over de afgelegde afstand.                                                                     | Snelheid = afstand/tijd berekeningen.                                               |
| 11               | Aardmagnetisch veld, noordpool                                    | Geef aan waar de magnetische noordpool zich bevindt.                                                                                          | Begrip van magnetische polen.                                                       |
| 12               | Plasma, schroefvormige beweging                                   | Teken de lorentzkracht, leg uit of het deeltje positief of negatief geladen is.                                                              | Begrip van lorentzkracht en beweging in een magneetveld.                            |
| 13               | Plasma, cirkelstraal                                              | Leg uit waarom de straal van de cirkel kleiner wordt dichter bij de pool.                                                                    | Begrip van energie en magnetische kracht.                                           |
| 14               | Poollicht, fotonenenergie                                         | Bepaal de dominante kleur van het poollicht door de golflengte van fotonen te berekenen.                                                     | Energie-golflengterelaties en lichtspectrum.                                        |
| 15               | Poollicht, ontstaan op hoogte                                     | Leg uit waarom dominante kleuren veranderen bij verschillende hoogtes.                                                                       | Begrip van botsingen tussen deeltjes en lichtspectra.                               |
| 16               | Boomwhackers, akoestische lengte                                  | Bepaal de akoestische lengte van buis 1 met behulp van figuur 2.                                                                             | Berekeningen met staande golven.                                                    |
| 17               | Akoestische lengte, buiken                                        | Leg uit of de buiken aan de uiteinden van de buis binnen of buiten de buis vallen.                                                           | Begrip van staande golven en correctiefactoren.                                      |
| 18               | Meetonnauwkeurigheid, significantie                               | Leg uit of de nauwkeurigheid van de binnendiameter invloed heeft op de significantie van de akoestische lengte.                              | Begrip van meetonnauwkeurigheid en significantie.                                    |
| 19               | Foutmarge, golflengte                                             | Leg uit waarom de foutmarge in de golflengte niet zichtbaar is in figuur 3.                                                                  | Analyse van meetfouten en foutmarges.                                               |
| 20               | Geluidssnelheid, grafiekanalyse                                   | Bepaal minimale en maximale geluidssnelheid met twee lijnen door de oorsprong.                                                               | Grafiekanalyse en lineaire verbanden.                                               |
| 21               | Botsende-deeltjesmodel, intensiteit                               | Leg uit waarom de intensiteit van een bundel afneemt naarmate de afstand toeneemt.                                                           | Begrip van botsende deeltjes en intensiteit.                                        |
| 22               | Transmissie, halveringsdikte                                      | Geef de halveringsdikte aan en toon aan dat \(\lambda\) in figuur 2 correct is weergegeven.                                                   | Analyse van transmissiecurves en exponentiÃ«le afname.                               |
| 23               | Ramsauer-Townsend-effect, debroglie-golflengte                    | Bereken de debroglie-golflengte van een elektron met een energie van 1,0 eV.                                                                 | Toepassing van kwantummechanica en golfdeeltjesdualiteit.                           |
| 24               | Resonantie, eendimensionale energieput                            | Leg uit waarom resonantie bij verschillende \(E_{\text{elek}}\) optreedt en bereken \(E_{\text{put}}\).                                       | Begrip van resonantie en energieniveaus in een energieput.                           |

* NAV232VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                             | Acties/Berekeningen                                                                                                                       | Benodigde kennis/vaardigheden                                                      |
|------------------|--------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| 1                | Fietshelm, valhoogte                                         | Bereken de valhoogte om een snelheid van 5,42 m/s te bereiken.                                                                                | Begrip van zwaartekracht en energieomzetting.                                         |
| 2                | Dummyhoofd, fietshelm, versnelling                           | Toon aan dat de maximale indrukking van 20 mm voldoet aan de norm van 250g.                                                                   | Krachten- en versnellingberekeningen.                                                |
| 3                | Dummyhoofd, snelheid bij impact                              | Leg uit hoe figuur 3 laat zien dat de impactnelheid gelijk is in beide experimenten.                                                           | Analyse van grafieken en snelheidstijd-relaties.                                      |
| 4                | Piepschuim, remweg                                           | Leg uit waarom de maximale remweg niet volledig benut mag worden.                                                                             | Begrip van kracht-indrukking-relatie.                                                |
| 5                | Model, piepschuim, constante \( C \)                         | Bereken \( C \) voor piepschuim en geef de ontbrekende formule in regel 7.                                                                    | Gebruik van modelformules en krachtenanalyse.                                         |
| 6                | Piepschuim, dichtheid                                        | Leg uit welke dichtheid de kleinste maximale versnelling geeft.                                                                               | Begrip van massa-veersystemen en energieabsorptie.                                    |
| 7                | Piepschuim, snelheid                                         | Analyseer hoe dichtheid het vertraaggedrag beïnvloedt.                                                                                        | Krachtenanalyse en modellering.                                                      |
| 8                | Deuterium, kernfusie                                         | Geef de reactievergelijking van deuterium en een proton tot een nieuw deeltje.                                                                | Begrip van kernfusieprocessen.                                                       |
| 9                | Waterstof, deuterium, spectraallijnen                        | Toon aan dat de golflengte van D 655,95 nm is.                                                                                                | Energieberekeningen en kwantummechanica.                                              |
| 10               | Orionnevel, spectrum, snelheid                               | Leg uit of de Orionnevel naar ons toe of van ons af beweegt en bereken de radiale snelheid.                                                   | Doppler-effect en snelheid-berekeningen.                                             |
| 11               | Orionnevel, intensiteiten                                    | Geef in de grafiek aan welke oppervlakte bepaald moet worden voor de intensiteit van D.                                                       | Grafiekanalyse en oppervlakteberekening.                                             |
| 12               | Deuterium, halveringstijd                                    | Bereken de halveringstijd van deuterium.                                                                                                      | Begrip van exponentiële afname en halfwaardetijd.                                     |
| 13               | Treinwielen, sinusloop                                       | Leg uit hoe het ontwerp zorgt voor de sinusloop.                                                                                              | Begrip van krachten, rotatie, en ontwerpprincipes.                                    |
| 14               | Treinwielen, coniciteit                                      | Toon aan dat coniciteit geen eenheid heeft.                                                                                                   | Dimensieanalyse en geometrie.                                                        |
| 15               | Trein, sinusloop                                             | Bereken de periode van de sinusloop.                                                                                                          | Toepassing van formules en snelheidstijd-relaties.                                    |
| 16               | Trein, resonantie                                            | Bereken de snelheid waarbij resonantie optreedt.                                                                                              | Resonantie en massa-veersysteemanalyse.                                              |
| 17               | Wervelstroomrem                                              | Geef de stroomrichting in punt K aan.                                                                                                         | Begrip van elektromagnetisme en lorentzkracht.                                        |
| 18               | Wervelstroomrem, magneetveldsterkte                          | Leg uit of de magneetveldsterkte bij lage snelheid groter of kleiner moet zijn dan bij hoge snelheid.                                         | Magnetische kracht-snelheidsrelatie.                                                 |
| 19               | Wervelstromen, remkracht                                     | Geef de richting van de wervelstromen en lorentzkrachten in punten P en Q.                                                                    | Magnetisme en stroomrichtingen.                                                      |
| 20               | Geleidende klei, schakeling                                  | Teken verbindingssnoeren in een schakeling.                                                                                                  | Basiskennis elektrische schakelingen.                                                |
| 21               | Geleidende klei, soortelijke weerstand                       | Bereken de soortelijke weerstand van de klei.                                                                                                 | Berekening van weerstand en geleidbaarheid.                                          |
| 22               | Geleidende klei, weerstand bij dubbele lengte                | Beredeneer hoe de weerstand verandert bij verdubbeling van de lengte.                                                                         | Begrip van weerstand-lengte-relatie.                                                 |
| 23               | Zwarte gaten, massa-eindstadia                               | Bepaal of een ster een zwart gat wordt.                                                                                                       | Hertzsprung-Russell diagramanalyse.                                                  |
| 24               | Zwarte gaten, ontsnappingssnelheid                           | Leid formule \( v = \sqrt{\frac{2GM}{r}} \) af.                                                                                               | Gravitatiewetten en energiebalansen.                                                 |
| 25               | Zwarte gaten, hawkingstraling                                | Leg uit waarom hawkingstraling moeilijk waarneembaar is.                                                                                      | Begrip van zwarte stralers en stralingseigenschappen.                                 |
| 26               | Hawkingstraling, vermogen-massa-relatie                      | Toon aan dat \( P \propto \frac{1}{M^2} \).                                                                                                   | Toepassing van Planckwet en gravitatiewetten.                                        |
| 27               | Hawkingstraling, massa-verlies                               | Leg uit welke grafiek het juiste verband geeft tussen massa en tijd.                                                                          | Begrip van energieafname en exponentiële relaties.                                    |
* NAV241VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                              | Acties/Berekeningen                                                                                                                       | Benodigde kennis/vaardigheden                                                     |
|------------------|---------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Fiets, snelheid                                               | Bereken in hoeveel seconden de laatste mijl is afgelegd.                                                                                      | Omrekenen van eenheden, snelheid-tijd-relaties.                                      |
| 2                | Luchtweerstand, fiets                                         | Bereken het frontaal oppervlak en de luchtweerstandskracht.                                                                                   | Begrip van luchtweerstandformules en oppervlakteberekening.                          |
| 3                | Fiets, weerstandskracht                                       | Bereken de totale weerstandskracht tijdens de laatste mijl.                                                                                    | Vermogen-snelheidsrelaties en energieomzetting.                                      |
| 4                | Fiets, snelheid                                               | Bepaal de snelheid bij loskoppeling van de kabel.                                                                                              | Grafiekanalyse, snelheid-bepaling.                                                   |
| 5                | Fiets, remkracht                                              | Bereken de gemiddelde remkracht tijdens het afremmen.                                                                                         | Krachtenberekeningen, tweede wet van Newton.                                         |
| 6                | Exoplaneet, Kepler's derde wet                                | Toon aan dat de baanstraal van de exoplaneet 2,8 Ã— 10Â¹â° m is.                                                                                  | Kennis van Kepler's wetten en gravitatie.                                            |
| 7                | Exoplaneet, transit-methode                                   | Bepaal de verhouding van de straal van de exoplaneet tot die van de ster.                                                                      | Grafiekanalyse, transitberekening.                                                   |
| 8                | Stralingsvermogen, absorptie                                  | Leid formule (2) af voor het geabsorbeerde vermogen van de exoplaneet.                                                                         | Begrip van stralingsvermogen en oppervlaktes.                                         |
| 9                | Exoplaneet, goudlokjegebied                                   | Toon aan of de exoplaneet binnen het goudlokjegebied ligt.                                                                                     | Gebruik van Stefan-Boltzmannwet en thermisch evenwicht.                              |
| 10               | Batterijtrein, weerstand                                      | Bereken de weerstand \( R_{\text{spoel}} \) van de spoel.                                                                                      | Weerstandsberekening, lengte en diameter van draad.                                  |
| 11               | Magnetisch veld, sterkte                                      | Leg uit waarom het magnetisch veld sterker is in punt P dan in punt Q.                                                                         | Begrip van magneetvelden en veldlijnen.                                              |
| 12               | Stroomrichting, spoel                                         | Geef de richting van de stroom door de windingen van de spoel aan.                                                                             | Begrip van rechterhandregel en elektromagnetisme.                                    |
| 13               | Magnetische kracht, noord- en zuidpolen                       | Teken de magnetische krachten op de magneten en bepaal of het punten noord- of zuidpolen zijn.                                                 | Magnetisme en krachtenanalyse.                                                       |
| 14               | Batterijmodel, inwendige weerstand                            | Leg uit welke weerstand (\( R_{\text{i}} \) of \( R_{\text{spoel}} \)) groter is.                                                              | Begrip van vermogensverdeling in elektrische schakelingen.                           |
| 15               | Kernfusie, reactievergelijking                                | Geef de vergelijking van de kernreactie met deuterium.                                                                                         | Kennis van kernfusie en reacties.                                                    |
| 16               | Kernfusie, quantummechanica                                   | Leg uit bij welke energieÃ«n kernfusie optreedt en hoe quantummechanica dit verklaart.                                                          | Begrip van tunneling en energiebalansen.                                              |
| 17               | Kernfusie, neutronaantallen                                   | Bereken de orde van grootte van het aantal neutronen dat per seconde de reactorwand raakt.                                                     | Berekening met ordes van grootte en oppervlakken.                                    |
| 18               | Waterstof, spectraallijnen                                    | Bepaal de minimale golflengte van licht dat door waterstof wordt uitgezonden.                                                                  | Energieniveaus en fotonberekeningen.                                                 |
| 19               | Balmerlijnen, temperatuur                                     | Bepaal de temperatuur in de divertor met behulp van verhoudingen in spectra.                                                                   | Spectraanalyse en temperatuur-afhankelijkheid.                                        |
| 20               | Echografie, akoestische weerstand                             | Leid af dat \( \text{NÂ·sÂ·m}^{-3} \) een eenheid van Z is en leg uit waarom gel de echoâ€™s verbetert.                                             | Begrip van akoestische weerstand en voortplanting van geluid.                        |
| 21               | Ultrasoon geluid, frequentie                                  | Bereken de maximale herhaalfrequentie van de transducer.                                                                                       | Geluidsnelheid, tijdsduur, en echo-afstand.                                          |
| 22               | Echografie, minimale detailgrootte                            | Bereken de minimale lengte van een detail dat met de echo kan worden waargenomen.                                                              | Begrip van golflengtes en resolutie.                                                 |
| 23               | Galstenen, schaduwvorming                                     | Geef aan of de verklaringen voor de schaduw juist zijn.                                                                                         | Begrip van geluidsreflectie en absorptie.                                            |


* NAV242VB.TXT

| Vraagnummer | Betrokken voorwerpen/concepten                              | Acties/Berekeningen                                                                                                                       | Benodigde kennis/vaardigheden                                                     |
|------------------|---------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|
| 1                | Elektrische scooter, stroommeter                              | Maak het schakelschema compleet zodat de stroommeter de juiste stroomsterkte meet.                                                           | Begrip van stroommetingen en elektrische schakelingen.                               |
| 2, 3             | Elektrische scooter, energieverbruik                          | Toon aan dat de gebruikte energie klopt (1,3 kWh) en bereken het rendement van het opladen.                                                   | Kennis van energie, vermogensberekening, en rendement.                               |
| 4                | Elektrische scooter, windweerstand                            | Leg uit of Mees op de heenweg wind mee of wind tegen had.                                                                                     | Begrip van krachten en windweerstand.                                                |
| 5, 6             | Elektrische scooter, rolweerstandkracht                       | Leg uit waarom alleen de eerste meetpunten worden gekozen en bepaal de grootte van \( F_{\text{w, rol}} \).                                  | Grafiekanalyse, kinetische energie, en krachten.                                     |
| 7                | Elektrische scooter, luchtweerstandkracht                     | Leid de eenheid van \( k \) af in SI-eenheden.                                                                                                | Begrip van luchtweerstand, eenheden, en formules.                                    |
| 8                | Elektrische scooter, luchtweerstandconstante \( k \)          | Toon aan dat de waarde van \( k = 0,4 \) klopt met behulp van de figuur.                                                                      | Grafiekanalyse, oppervlak en luchtweerstand.                                         |
| 9                | Elektrische scooter, maximale snelheid                        | Bepaal de onder- en bovengrens van de maximale snelheid met behulp van figuur 5.                                                             | Grafiekanalyse, vermogen-snelheidsrelaties.                                          |
| 10               | Verval Thorium-232, isotoop lood                              | Leg uit waarom `Thorium A` een isotoop van lood is.                                                                                           | Begrip van vervalreeksen en isotopen.                                                |
| 11               | Thorium-232, constante activiteit                             | Leg uit waarom de activiteit van \( \beta \)-stralers constant blijft.                                                                        | Begrip van radioactiviteit en verval.                                                |
| 12               | Thorium-232, gammastraling door ijzer                         | Bepaal hoeveel procent van de meest doordringende gammafotonen wordt tegengehouden door ijzer.                                                | Grafiekanalyse, halveringsdikte, en straling.                                        |
| 13               | Magnetische spectrometer, Lorentzkracht                       | Geef de richting van de Lorentzkracht en het magnetisch veld in de spectrometer.                                                             | Kennis van Lorentzkracht, magnetisch veld, en cirkelbeweging.                        |
| 14               | Magnetische spectrometer, \( \beta \)-straling                | Leid de formule voor \( r \) af en bepaal welke \( \beta \)-straler de meest energierijke deeltjes produceert.                                | Begrip van impuls, cirkelbeweging, en magnetisme.                                    |
| 15               | \( \beta \)-verval, energieverdeling                          | Leg uit hoe meetresultaten aantonen dat bij \( \beta \)-verval een neutrino wordt gevormd.                                                    | Begrip van energiebehoud en deeltjesfysica.                                          |
| 16               | Dubbelspleetexperiment, interferentie                         | Geef de naam van het soort interferentie bij de aangegeven pijl.                                                                              | Begrip van constructieve en destructieve interferentie.                              |
